audits,trials,seed,online_to_offline,offline_to_online,final_catastrophic_trials,all_audits_pass_and_final_catastrophic_count,conditional_sequence_false_accept_rate,conditional_sequence_false_accept_ci_low,conditional_sequence_false_accept_ci_high,static_set_repeated_bound
1,12000,20260831,0.22,0.08,1278,478,0.37402190923317685,0.3479081526059559,0.4008907352875258,0.42424242424242425
2,12000,20260832,0.22,0.08,5828,1296,0.22237474262182566,0.21188337737851748,0.23323185374534455,0.1799816345270891
4,12000,20260834,0.22,0.08,10749,448,0.04167829565540981,0.038061048458494985,0.04562301423942034,0.03239338876704267
8,12000,20260838,0.22,0.08,11850,4,0.00033755274261603374,0.00013127525234485365,0.0008676801379250781,0.0010493316358127659
