domains,reconstruction_success_rate,reconstruction_success_ci_low,reconstruction_success_ci_high,catastrophic_rate,catastrophic_ci_low,catastrophic_ci_high
2,0.719,0.7127289360416108,0.7251869521658153,0.281,0.2748130478341847,0.2872710639583892
4,0.89095,0.8865547968456763,0.8951950501620555,0.10905,0.1048049498379445,0.11344520315432369
8,0.89325,0.8888946228156723,0.8974543408262013,0.10675,0.10254565917379858,0.11110537718432768
16,0.96635,0.9637599266746452,0.968760961295826,0.03365,0.031239038704173924,0.036240073325354866
